Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites
e358,15,53.2842283532272,1
f178,15,51.053890226682306,1
y587,15,33.7554267912536,1
r846,15,53.037184886108086,0
p642,15,51.62420521718151,0
z671,15,52.5235243544396,1
x736,15,41.355162219846974,0
n115,15,46.71623436641213,0
u281,15,42.252350905816336,0
i842,15,50.20750952878317,0
n989,15,43.52216701952641,1
m853,15,52.558263363849264,3
y531,15,52.09463476961463,1
a333,15,48.461629487956984,1
b461,15,53.462371726491845,1
k294,15,52.0046679530425,1
i583,15,52.71285356836347,2
q278,15,40.37582399450997,0
h491,15,54.209935689351845,0
w680,15,46.974688290964856,1
j128,15,52.84987878493227,1
o973,15,51.66988432380136,1
a885,15,50.14018766697622,0
y633,15,51.140115369178446,2
b998,15,54.7775562855269,0
x811,15,52.73844521854471,0
q747,15,47.845230375094275,1
f195,15,49.35114921238021,0
d581,15,51.28611946430535,2
q500,15,51.34832569347151,2
n939,15,50.4839257568299,0
d329,15,51.581735367013025,1
k944,15,34.85804699138236,0
o891,15,52.683753273100365,2
w286,15,52.90814761482667,2
l183,15,48.0887659131149,1
o388,15,51.338279212315484,0
e446,15,53.215233364801584,0
d203,15,50.39809327533815,1
p734,15,51.06093980118725,0
g832,15,53.50390494559889,1
a391,15,41.54703533127059,1
l451,15,51.8522254342817,1
g863,15,44.48756815427105,1
v921,15,51.077129387448636,0
l980,15,51.03397315570383,0
w976,15,53.180307279574215,2
m359,15,49.98511576118739,1
x493,15,50.90390610136246,2
y351,15,49.8303352591836,1
w658,15,49.69752929309486,2
z487,15,51.6059893286555,0
m272,15,49.43720636924057,1
k405,15,50.896802235366856,2
i491,15,49.859810514121726,1
e874,15,49.67622452467244,2
y369,15,50.82031349129944,1
v585,15,46.76479856238879,0
z435,15,52.497753540829486,1
x877,15,38.69799942072708,2
j640,15,53.48674121881019,2
n712,15,51.213097927375514,1
x903,15,38.2797260746102,0
z991,15,50.65699241952898,2
o231,15,42.52500945738114,0
i365,15,52.54212701294776,2
b853,15,47.82891689960402,0
l127,15,49.27680174819937,0
t982,15,50.790894241451895,0
n234,15,46.887847514564655,0
f936,15,51.56248040004217,0
w833,15,49.807955022216895,1
c160,15,54.256387334295205,1
a906,15,46.89008923257924,0
g185,15,49.37624263364185,1
o713,15,49.28511536023011,0
l263,15,53.965150934271406,0
h124,15,50.126467735865475,0
n196,15,37.38226859858328,1
d736,15,50.64042040223969,0
v490,15,41.047523034203444,1
p863,15,49.41139000390851,0
a960,15,51.120302404526655,0
j396,15,50.8582986824664,0
e316,15,40.82588351805158,0
n100,15,47.65826915337739,1
p849,15,50.86967387941337,2
w581,15,51.12775435364538,0
v547,15,48.117723182073114,0
l726,15,51.91336201865136,1
h413,15,46.758810560537846,0
u732,15,50.237224379582145,0
g787,15,50.0608390346751,1
e882,15,56.19803578809245,1
b386,15,53.119146930294065,1
h162,15,52.477920692362034,1
u540,15,50.41127159909705,1
q881,15,55.065964400339986,2
v933,15,54.25150328191411,2
x144,15,53.39461590641449,0
j128,20,54.59151346315116,1
n196,20,35.52749554234954,1
b853,20,49.253805217079986,0
c760,20,50.611157239479326,1
x877,20,37.03750665015994,2
d329,20,55.13925250634553,1
l868,20,38.884784664065876,1
u683,20,60.288302280858964,0
d203,20,54.871528833518674,1
y860,20,53.736646933005154,0
x493,20,51.63303549422223,2
b461,20,58.28556069177621,2
j396,20,54.1257414401721,0
k405,20,53.216746708913426,2
u861,20,36.616132198092785,0
z881,20,40.687132544917375,0
w860,20,53.75178941495988,1
m359,20,54.73402885775097,1
a906,20,41.159515302751544,1
k294,20,52.77671165575244,1
v933,20,56.49970007462383,2
c577,20,50.98207340410788,1
s886,20,51.50041672067101,1
e316,20,41.308638654463486,0
g787,20,52.61705018078368,1
w581,20,54.09425938067551,0
h413,20,44.72157509055728,0
m904,20,49.898663473248625,0
e681,20,54.55219059004344,1
g185,20,50.627769646765245,1
a885,20,51.59256123639196,1
y214,20,45.74416225012197,2
e874,20,52.58717726015071,2
x669,20,57.573463232755536,1
p298,20,45.10289546731553,2
j640,20,54.39088899339838,3
s231,20,51.7306934912783,0
t419,20,54.91356306482236,1
i365,20,53.074862293127275,2
z991,20,52.24756434663358,2
f936,20,52.43640987150239,1
w900,20,53.80323389076899,1
y351,20,53.67724842052085,2
g619,20,36.02357540537433,0
b131,20,41.42656101006172,0
q290,20,51.87473886864588,2
q747,20,49.491068714608296,1
h920,20,54.562271973958396,3
x811,20,54.716981808787594,0
j402,20,58.06879068297193,0
y633,20,51.72647374428812,2
o388,20,55.20562965924331,0
m672,20,50.846439850648565,1
a817,20,57.256816500345145,1
k944,20,30.121685063840644,0
w901,20,53.79431202439138,0
g863,20,45.188809988124554,1
a333,20,50.605413922062915,1
a538,20,58.85948791133809,1
y587,20,29.12468771893741,1
a189,20,35.00944649105512,0
e733,20,38.665299023132604,1
u867,20,52.95287905920776,0
y441,20,54.16602375284894,0
g305,20,50.77065910654162,0
d497,20,55.27653156637975,3
x672,20,50.02226891781145,1
i842,20,51.44012408183187,1
q881,20,56.06927723259838,2
m137,20,51.90596400146898,2
x736,20,40.346613409613326,0
l795,20,55.16074808571126,1
h124,20,53.504593186515095,0
i491,20,53.19340350616864,2
b386,20,58.37427596842896,1
w976,20,54.19160742841239,3
i419,20,35.058706409781806,0
l726,20,54.015438638710684,2
a960,20,51.81101665107505,0
x144,20,54.13478717539823,0
y369,20,51.726784554221794,2
q300,20,41.250661932260655,1
p863,20,51.49378543365917,0
u281,20,43.075866442627586,0
u540,20,52.06095796855102,1
v921,20,54.72628032907272,1
l980,20,51.637972565916535,0
l183,20,52.23715905722224,2
z671,20,56.49169636481059,1
p849,20,53.31273572560829,3
o231,20,41.28114496399979,1
z435,20,53.857634053980775,1
l127,20,49.997504741104535,0
e903,20,50.4027145774078,0
h162,20,54.97287595040738,1
q588,20,54.88282659818939,1
i617,20,50.38267953263186,0
t548,20,60.16017496267344,2
g727,20,45.41623910769364,2
o573,20,49.16649900776254,2
o147,20,54.34700529315027,0
c593,20,53.81441414690494,1
r431,20,39.14392797610171,0
d269,20,53.93056468032375,2
k443,20,35.60543407617244,0
